"id","citations","publication_year","journal","authors","title","doi","matched_term","context_mentions"
"https://openalex.org/W2586262197",3,2016,"Unknown Journal","Unknown Author","Chancellor Merkel, the European Debt Crisis and the AfD: An Analysis of Voting Behaviour in the 2013 Federal Election","https://doi.org/10.4324/9781315584652-12","party decline","ge parties: the catalogue is long and well known by now (Webb 2011). Although some recent works point to more mixed evidence on the crucial matter of party decline (Norris 2011; Dalton et al. 2011), parties nonetheless are in trouble. This is particularly evident in countries where the global economic crisis, wh"
"https://openalex.org/W3180962059",3,2021,"SSRN Electronic Journal","Unknown Author","Networks of Grievances: Social Capital and Mainstream Party Decline","https://doi.org/10.2139/ssrn.3816461","party decline","Networks of Grievances: Social Capital and Mainstream Party Decline -"
"https://openalex.org/W4391799454",2,2024,"American Political Science Review","Unknown Author","Reawakening a Revolutionary Party: The Ancient and Modern Princes in Wang Hui’s Political Theory","https://doi.org/10.1017/s0003055424000029","party decline","I bring Chinese thinker Wang Hui’s (Maoist) party theory into the conversation. By engaging Wang’s party theory, I demonstrate how we can understand party decline in nonliberal democratic countries with revolutionary legacies. I then analyze Wang’s solution to the decline of the revolutionary party, which focus"
"https://openalex.org/W2095550161",2,2011,"Revue d’études comparatives Est-Ouest","Unknown Author","The Communist Party of the Russian Federation: not Communist per se","https://doi.org/10.4074/s0338059911001033","party decline","F has used a chameleon-like survival technique to facilitate the regime's political adaptation to the post-Communist framework. The usefulness of the party declined once the political regime became autocratic. The CPRF is not an opposition party in the real sense of this phrase, since it is more a facilitator of"
"https://openalex.org/W2104572703",2,2011,"Compolítica","Unknown Author","Propaganda Partidária Gratuita: dilemas e implicações sobre os partidos políticos e a comunicação política brasileira","https://doi.org/10.21878/compolitica.2011.1.2.20","party decline","has been defined by the practices of image enhancement of the candidates &amp;ndash; at the expense of collective elements. As a result, issues such party decline, personalization and professionalization of politics, become increasingly relevant, guiding the study developed here.&lt;/p&gt;"
"https://openalex.org/W4246735104",2,2016,"Unknown Journal","Unknown Author","Modern European demo cra cy and its enemies: the threat of the extreme right","https://doi.org/10.4324/9781315514574-18","party decline","he new millen nium, achiev ing stabil ity by outlaw ing extreme polit ical parties is no longer an effect ive strategy. Furthermore, contrary to the ‘party decline’ and ‘trade off’ theses, we argue that the ‘uncivil society’ and extreme right-wing parties operate jointly to promote similar goals and thus present"
"https://openalex.org/W2767691873",1,2017,"The Journal of Southern History","Unknown Author","Black Republicans and the Transformation of the GOP by Joshua D. Farrington","https://doi.org/10.1353/soh.2017.0305","party decline","mmunity and elicited support from black Republicans. Nevertheless, as the GOP grew more conservative into the 1970s, black support for the Republican Party declined significantly on the national level and has not recovered. Farrington weaves his chronological narrative together with a wealth of archival sources."
"https://openalex.org/W4402321809",1,2024,"Swiss Political Science Review","Unknown Author","Party Strategies in Local Elections: Insights from Israel","https://doi.org/10.1111/spsr.12622","party decline","and their choice of label. Notably, almost 30% of party lists conceal their identity by opting for ‘disguised’ labels. We argue that Israel's extreme party decline in local politics, characterized by the dominance of independent lists, may foreshadow global trends as national parties withdraw from municipal cont"
"https://openalex.org/W1505038112",1,2007,"Cambridge University Press eBooks","Unknown Author","Under siege: Catholic parties in interwar Europe","https://doi.org/10.1017/cbo9780511497056.003","party decline","t party in the first postwar elections, they continued to play a dominant role in government formation. While electoral support for the German Centre Party declined somewhat from 13.6 per cent in 1920 to 11.9 per cent in the last free elections in November 1932, it was the core political force in all parliamenta"
"https://openalex.org/W2172258296",1,2011,"Journal of Politics in Latin America","Unknown Author","Ruling against the Executive in <i>Amparo</i> Cases: Evidence from the Peruvian Constitutional Tribunal","https://doi.org/10.1177/1866802x1100300204","party decline","ikely to rule against the executive, as the public's confidence in the executive decreases and as the share of congressional seats of the president's party declines. Further, the Tribunal is more willing to decide cases against the executive in areas that most pervade its docket, specifically in the areas of pen"
"https://openalex.org/W2621005132",1,2011,"DOAJ (DOAJ: Directory of Open Access Journals)","Unknown Author","Slovenské parlamentné voľby 2010: nacionálna agenda na ústupe?",NA,"party decline","e Party of Hungarian Coalition were eliminated from the national parliament. Moreover, the election outcome of the radical right-wing Slovak National Party declined significantly. On the other hand, two new parties entered parliament. All in all, the election outcomes show the weakening of the nationalist agenda"
"https://openalex.org/W2978463433",1,2012,"Unknown Journal","Unknown Author","DOWNSIDE AFTER THE SUMMIT: Factors in extreme-right party decline in France and Austria","https://doi.org/10.4324/9780203121924-27","party decline","DOWNSIDE AFTER THE SUMMIT: Factors in extreme-right party decline in France and Austria -"
"https://openalex.org/W3108577813",1,2020,"Zoon Politikon","Unknown Author","Demokracja w recesji? Diagnozy i projekty naprawcze","https://doi.org/10.4467/2543408xzop.20.004.12946","party decline","han twenty indicators. It demonstrates that, behind a general trend of decline of political parties, there is much variance among countries. In some, party decline is moderate or even small, which may point to adaptation to the changing environments these parties operate in. In others, parties sharply decline. M"
"https://openalex.org/W3126642283",1,2019,"London School of Economics and Political Science Research Online (London School of Economics and Political Science)","Unknown Author","What explains mainstream party decline across Europe",NA,"party decline","What explains mainstream party decline across Europe - In new research on party systems in 16 European countries, Jae-Jae Spoon and Heike Klüver demonstrate that, as mainstream parties hav"
"https://openalex.org/W4307708480",1,2022,"East Central Europe","Unknown Author","A Typology of Postcommunist Successor Parties in Central and Eastern Europe and an Explanatory Framework for Their (Non-)Success","https://doi.org/10.30965/18763308-49020007","party decline","on studies on voter flows in addition to qualitative case analyses in order to demonstrate these interactions at work in critical phases of successor-party decline or growth."
"https://openalex.org/W4224238456",1,2022,"Unknown Journal","Unknown Author","Effects of Public Funding on Party Participation","https://doi.org/10.4324/9780429272004-30","party decline","ics of PCF so glaringly manifested in the United States. Public funding is liable to bring about the reduction of party responsiveness and consequent party decline. To better understand the Israeli situation the people must amplify the discussion of the structural changes undergone by the parties and the shift i"
"https://openalex.org/W1017401353",0,2010,"Cambridge University Press eBooks","Unknown Author","Preface","https://doi.org/10.1017/cbo9780511750748.001","party decline","Preface - This study began as a search for remedies for the familiar disease of party decline. It made sense to look for such remedies in the late nineteenth century, the period of American parties' supposed peak performance. Perhaps, I suppos"
"https://openalex.org/W1521030679",0,2007,"Unknown Journal","Unknown Author","THE ROLE OF THE POLITICAL PARTIES IN THE UNITED STATES: ARE THEY BECOMING OBSOLETE?",NA,"party decline","party is in decline in the US politics, as ample evidence, the aforesaid argument goes, suggests believing so. According to the claimants in favor of party decline, political party’s role has been diminishing in the political processes, including the presidential and congressional elections. Some even goes furth"
"https://openalex.org/W1521030679",0,2007,"Unknown Journal","Unknown Author","THE ROLE OF THE POLITICAL PARTIES IN THE UNITED STATES: ARE THEY BECOMING OBSOLETE?",NA,"party decline","demonstrate that political party still plays a significant role in many processes of American politics. The evidence that is presented as the sign of party decline in fact suggests that political party in the US is transforming, rather than declining. Therefore, political parties are well and alive in the US. It"
"https://openalex.org/W1608220015",0,2010,"SSRN Electronic Journal","Unknown Author","Women, Parties, and Democracy in Germany",NA,"party decline","closely linked. No modern democracy exists without parties. Political scientists who find evidence for the decline of parties are quite ready to link party decline to a decline in democracy more generally.Parties are important to democracy because they have been the means for holding the government accountable."
"https://openalex.org/W1610947321",0,2003,"Cambridge University Press eBooks","Unknown Author","From Labor Politics to Machine Politics: The Transformation of the Peronist Party–Union Linkage","https://doi.org/10.1017/cbo9780511615641.005","party decline","ks replaced unions as the PJ's primary linkage to its working- and lower-class base. As a result of these changes, organized labor's influence in the party declined precipitously. This process of deunionization contributed in an important way to the PJ's electoral success in an increasingly postindustrial electo"
"https://openalex.org/W1867109195",0,2012,"한국정치학회보","Unknown Author","Party Transformation in Old Democracies and Party Formation in New Democracies",NA,"party decline","regating the political party into three dimensions, that is, party-as-organization, party-in-public office, and party-in-the-electorate. Although the party decline thesis emphasizes the weakening of the political party in general, it is found that despite the considerable shrinking of party-as-organization combi"
